Submission ID,Respondent ID,Submitted at,Ваша основна зайнятість в ІТ зараз...,Оберіть ваш тайтл або роль у компанії,Categories,Position,Розробники -  основна спеціалізація,Якою мовою ви написали свою першу програму?,Основна мова програмування,"Скільки років ви працюєте з мовою, яку обрали як основну?","Чи використовуєте ви інші мови програмування, крім основної?","Оберіть інші мови програмування, які також використовуєте на поточній посаді",Які мови програмування ви б обрали зараз для наступного комерційного проєкту?,Чи комітили ви у 2024 році в опенсорс проєкти?,Якими мовами програмування ви комітили в опенсорс проєкти у 2024 році?,Чи є у вас власні опенсорс проєкти?,Якими мовами написаний ваш опенсорс проєкт?,Чи плануєте ви наступного року вивчити ще одну мову програмування?,Яку мову програмування ви плануєте вивчити наступного року?,"Основні фреймворки, бібліотеки та платформи: розробка","Основні фреймворки, бібліотеки та платформи: QA","Основні фреймворки, бібліотеки та платформи: Робота з даними",Ви плануєте освоїти наступну мову,"Платформи, для яких розробляєте на поточному місці роботи","Оберіть напрям, у якому зараз працюєте",Загальний стаж роботи за нинішньою ІТ-спеціальністю,Загальний стаж роботи в ІТ,,,,,,,,,,,,,,,,,,,,,,,
8b758z,zLKL6k,2024-11-25 9:11:39,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,Basic,Java,10 і більше років,Так,JavaScript,"Java, JavaScript, Kotlin, SQL",Ні,,Немає,,Так,Python,"Node.js,React,Spring",,,Самостійно,"Web, Desktop, Mobile Android, Mobile iOS",,15,15,,,,,,,,,,,,,,,,,,,,,,,
y8Vkeg,274729,2024-11-25 9:12:49,Працюю full-time,Tech Lead,SE,Software Engineer / Software Developer,Back-end  розробка,Assembler,Python,6 років,Так,"JavaScript, SQL",Python,Ні,,Немає,,Так,JavaScript,"FastAPI,Aiohttp",,,Самостійно,Web,,14,14,,,,,,,,,,,,,,,,,,,,,,,
JE5YDK,8MdMll,2024-11-25 9:13:23,Працюю full-time,Lead/Team Lead,SE,Software Engineer / Software Developer,Back-end  розробка,C,Scala,6 років,Так,Java,"Scala, Java",Ні,,Немає,,Так,Python,"Akka,Spring",,,Самостійно,Web,,12,12,,,,,,,,,,,,,,,,,,,,,,,
KrdyNK,yzl1M4,2024-11-25 9:14:46,Працюю full-time,Middle,QA,General QA,,Java,Java,"1,5 року",Так,JavaScript,,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"Postman, Playwright, JUnit, Maven",,,Web,"web app,web api",3,3,,,,,,,,,,,,,,,,,,,,,,,
pY81Gy,OkAEdg,2024-11-25 9:15:09,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,JavaScript,C# / .NET,3 роки,Так,JavaScript,C# / .NET,Ні,,Немає,,Так,Rust,.NET,,,Самостійно,Web,,3,3,,,,,,,,,,,,,,,,,,,,,,,
x8O1Vy,8Mdrek,2024-11-25 9:15:21,Працюю full-time,Lead/Team Lead,SE,Software Engineer / Software Developer,Back-end  розробка,Pascal,Java,10 і більше років,Так,Python,Java,Ні,,Немає,,Так,Go,"Spring,Hibernate",,,Самостійно,Web,,10,10,,,,,,,,,,,,,,,,,,,,,,,
ZbqKPe,qvbzzG,2024-11-25 9:15:40,Працюю full-time,Middle,Other,HR People Partner,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,
JE5gNd,evBvoq,2024-11-25 9:15:56,Втратив(-ла) роботу і шукаю нову,Middle,QA,Manual QA,,C++,Python,Пів року,Так,SQL,TypeScript,Ні,,Немає,,Так,JavaScript,,Postman,,З допомогою професійних викладачів (курсів або індивідуальних занять),"Web, Mobile Android, Mobile iOS, Mobile cross-platform","web app,android mobile app,ios mobile app",8,8,,,,,,,,,,,,,,,,,,,,,,,
EoyExo,kvYz7r,2024-11-25 9:15:58,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,C,TypeScript,5 років,Ні,,,,,,,"Ні, наразі не маю таких планів",,,,,,"Web, Desktop",,6,6,,,,,,,,,,,,,,,,,,,,,,,
DRgPJE,8MdrRP,2024-11-25 9:15:59,Працюю full-time,Senior,Product Management,Product Manager,,JavaScript,Python,5 років,Так,Ruby,,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Web,,8,10,,,,,,,,,,,,,,,,,,,,,,,
OxO97p,gv5z7P,2024-11-25 9:16:36,Працюю full-time,Lead/Team Lead,SE,Software Engineer / Software Developer,Front-end  розробка,C,TypeScript,4 роки,Так,JavaScript,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"React,Next.js",,,,Web,,5,11,,,,,,,,,,,,,,,,,,,,,,,
egkP9e,jvBvKJ,2024-11-25 9:17:15,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Desktop,C,C++,10 і більше років,Так,"C, Objective-C, Python","C, C++",Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Desktop,,7,12,,,,,,,,,,,,,,,,,,,,,,,
o8X1lO,rvlYvN,2024-11-25 9:17:23,Втратив(-ла) роботу і шукаю нову,Junior,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,TypeScript,1 рік,Так,JavaScript,TypeScript,Ні,,Є,TypeScript,"Ні, наразі не маю таких планів",,"React,Next.js",,,,Web,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Zbqyvz,JM2M7R,2024-11-25 9:18:41,Працюю full-time,Senior,DevOps/SRE,SRE (Site Reliability Engineer),,Java,JavaScript,1 рік,Так,Go,Go,Ні,,Немає,,Так,Rust,,,,Самостійно,Web,,3,10,,,,,,,,,,,,,,,,,,,,,,,
X6ZkBP,274o7j,2024-11-25 9:19:20,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,Basic,ABAP,10 і більше років,Так,"SQL, JavaScript, Java",Kotlin,Ні,,Є,"Java, Pascal/Delphi, Kotlin","Ні, наразі не маю таких планів",,"Node.js,Ui5",,,,"Web, Desktop",,10,15,,,,,,,,,,,,,,,,,,,,,,,
y8VRO6,KkMGEz,2024-11-25 9:19:46,Працюю full-time,Junior,Other,Sales manager / Sales Executive,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
66ayVk,8Mdr5x,2024-11-25 9:19:49,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,C# / .NET,TypeScript,8 років,Так,JavaScript,"TypeScript, PHP, JavaScript",Ні,,Є,TypeScript,"Ні, наразі не маю таких планів",,"Vue.js,Nuxt.js",,,,Web,,9,9,,,,,,,,,,,,,,,,,,,,,,,
29QydA,ZDdeka,2024-11-25 9:19:53,Працюю full-time,Middle,Product Management,Product Manager,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,
g8K1qN,YkZ9Yv,2024-11-25 9:20:02,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Front-end  розробка,Python,TypeScript,Пів року,Ні,,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,Next.js,,,,"Web, Mobile cross-platform",,0.25,1,,,,,,,,,,,,,,,,,,,,,,,
AM1GMW,274o9A,2024-11-25 9:20:31,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,C++,TypeScript,3 місяці,Так,PHP,"TypeScript, PHP",Так,JavaScript,Немає,,Так,Rust,Vue.js,,,З допомогою професійних викладачів (курсів або індивідуальних занять),Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
QNPWL1,EMP6RA,2024-11-25 9:21:02,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Pascal,Python,3 роки,Так,PHP,"Python, Go, Rust, C# / .NET",Ні,,Немає,,"Ні, наразі не маю таких планів",,"FastAPI,Yii",,,,Web,,6,6,,,,,,,,,,,,,,,,,,,,,,,
Mjoqgp,EMP6Eo,2024-11-25 9:21:34,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Full Stack розробка,JavaScript,JavaScript,1 рік,Так,PHP,JavaScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Laravel,Angular / Angular.js",,,,Web,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Y7Nv60,KkMGKK,2024-11-25 9:21:55,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,C++,PHP,5 років,Так,Go,PHP,Ні,,Немає,,"Ні, наразі не маю таких планів",,Symfony,,,,"Web, Mobile iOS, Mobile Android",,5,6,,,,,,,,,,,,,,,,,,,,,,,
j81YA9,vKNz88,2024-11-25 9:22:02,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Pascal,Java,2 роки,Так,JavaScript,Java,Так,Java,Немає,,"Ні, наразі не маю таких планів",,Spring,,,,Web,,2,2,,,,,,,,,,,,,,,,,,,,,,,
EoyrPN,VDZxGg,2024-11-25 9:22:10,Працюю full-time,Lead/Team Lead,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api",6,6,,,,,,,,,,,,,,,,,,,,,,,
r8z11v,274ogp,2024-11-25 9:22:11,Працюю full-time,Middle,DS/ML/AI,Data Engineer / Big Data Engineer,,Pascal,SQL,4 роки,Так,Python,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,"dbt, Spark, Requests, FlyWay",,Cloud Data Platform,,2,5,,,,,,,,,,,,,,,,,,,,,,,
l8J1LV,qvbzo9,2024-11-25 9:22:15,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,TypeScript,5 років,Так,JavaScript,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Next.js,React",,,,Web,,6,6,,,,,,,,,,,,,,,,,,,,,,,
0qNyZB,NdAPOB,2024-11-25 9:22:52,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,TypeScript,"1,5 року",Так,JavaScript,"Важко сказати, не знаю, Мови розробки БД (PL/SQL, Transact-SQL)",Ні,,Немає,,Так,NodeJS,"jQuery,React",,,Самостійно,Web,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
Eoyrd4,0aEArB,2024-11-25 9:22:54,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,TypeScript,5 років,Ні,,Python,Ні,,Немає,,Так,Python,Angular / Angular.js,,,З допомогою професійних викладачів (курсів або індивідуальних занять),Web,,5,9,,,,,,,,,,,,,,,,,,,,,,,
RqE6zJ,274RX9,2024-11-25 9:22:57,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,JavaScript,6 років,Ні,,,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Web,,6,6,,,,,,,,,,,,,,,,,,,,,,,
g8K1RP,Ayl9kl,2024-11-25 9:23:06,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,C,TypeScript,6 років,Ні,,TypeScript,Ні,,Немає,,Так,C# / .NET,"Angular / Angular.js,ionic",,,Самостійно,"Web, Mobile cross-platform",,6,6,,,,,,,,,,,,,,,,,,,,,,,
k8MQGR,rvlqy2,2024-11-25 9:23:07,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,TypeScript,"1,5 року",Так,JavaScript,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Next.js,React",,,,Web,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
b1bE4E,VDZxJJ,2024-11-25 9:23:29,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api",3,3,,,,,,,,,,,,,,,,,,,,,,,
RqE64l,5MdO4o,2024-11-25 9:24:07,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Python,Python,7 років,Так,JavaScript,Python,Ні,,Є,Python,"Ні, наразі не маю таких планів",,Flask,,,,Web,,8,11,,,,,,,,,,,,,,,,,,,,,,,
x8OL09,avBldq,2024-11-25 9:24:14,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api,windows desktop apps,macos desktop apps",2,3,,,,,,,,,,,,,,,,,,,,,,,
ap7gbZ,YkZ92v,2024-11-25 9:24:27,Працюю full-time,CEO / C-level (Chief) / Director / VP,Other,CTO (Chief Technology Officer) / Technical Director,,Basic,Java,8 років,Так,PHP,Java,Так,Java,Немає,,Так,Go,,,,Самостійно,Web,,13,15,,,,,,,,,,,,,,,,,,,,,,,
k8MxQj,JM2oqd,2024-11-25 9:24:29,Працюю full-time,Middle,SE,Software Engineer / Software Developer,PLC,C,C,4 роки,Так,MATLAB,C,Ні,,Немає,,Так,Python,,,,З допомогою професійних викладачів (курсів або індивідуальних занять),PLC,,2,2,,,,,,,,,,,,,,,,,,,,,,,
ZbqLPA,6MdV2B,2024-11-25 9:24:30,Працюю full-time,Junior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"android mobile app,ios mobile app",2,2,,,,,,,,,,,,,,,,,,,,,,,
4leD1o,evBoRO,2024-11-25 9:24:39,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"ios mobile app,android mobile app",3,3,,,,,,,,,,,,,,,,,,,,,,,
DRgEXp,274RPV,2024-11-25 9:24:59,"Тимчасово не працюю і не шукаю роботу (sabbatical, декрет, волонтерство etc)",Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api",6,8,,,,,,,,,,,,,,,,,,,,,,,
WaxB5P,KkMGBg,2024-11-25 9:25:05,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,Pascal,TypeScript,3 роки,Ні,,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"React,Next.js",,,,Web,,3,3,,,,,,,,,,,,,,,,,,,,,,,
776gP0,6MdVRO,2024-11-25 9:25:13,Працюю full-time,Junior,QA,Manual QA,,,,,,,,,,,,,,,,,,,ios mobile app,2,2,,,,,,,,,,,,,,,,,,,,,,,
GO8j7e,DMVWej,2024-11-25 9:25:20,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"windows desktop apps,ios mobile app,android mobile app",3,3,,,,,,,,,,,,,,,,,,,,,,,
BJMVj1,W1AZAJ,2024-11-25 9:25:24,Працюю full-time,Lead/Team Lead,QA,Manual QA,,C++,Python,1 рік,Ні,,,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"JSON, Postman, PyTest, Selenium",,,"Web, Desktop","web app,web api",8,8,,,,,,,,,,,,,,,,,,,,,,,
OxOeVa,lvN4Rp,2024-11-25 9:25:29,Працюю full-time,Junior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api,android mobile app,ios mobile app",0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
l8J9KV,VDZx0v,2024-11-25 9:25:44,Працюю full-time,Junior,QA,General QA,,TypeScript,TypeScript,2 роки,Ні,,,Ні,,Немає,,"Ні, наразі не маю таких планів",,,Playwright,,,Web,web app,2,2,,,,,,,,,,,,,,,,,,,,,,,
BJMV84,zLKbDq,2024-11-25 9:25:55,Працюю full-time,Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,web app,11,11,,,,,,,,,,,,,,,,,,,,,,,
OxOejk,bvlAdo,2024-11-25 9:25:58,Працюю full-time,Tech Lead,QA,Manual QA,,Java,Python,3 місяці,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,Appium,,,"Web, Mobile Android, Mobile iOS, Mobile cross-platform, Desktop","android mobile app,ios mobile app,web app,web api",6,6,,,,,,,,,,,,,,,,,,,,,,,
L4Rq5z,DMVWd5,2024-11-25 9:26:00,Працюю full-time,Middle,QA,Manual QA,,JavaScript,JavaScript,Менше як 3 місяці,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"Jest, Postman",,,"Mobile cross-platform, Web","android mobile app,ios mobile app",2,2,,,,,,,,,,,,,,,,,,,,,,,
BJMVbY,EMPaWX,2024-11-25 9:26:14,Працюю full-time,Middle,QA,Manual QA,,Python,Python,2 роки,Так,JavaScript,"JavaScript, Python",Ні,,Немає,,"Ні, наразі не маю таких планів",,,"JSON, Postman, PyTest",,,Web,"web app,web api",4,4,,,,,,,,,,,,,,,,,,,,,,,
v8ovJ4,6MdVde,2024-11-25 9:26:22,Працюю full-time,Middle,QA,General QA,,,,,,,,,,,,,,,,,,,web app,3,3,,,,,,,,,,,,,,,,,,,,,,,
QNPaz1,274Rep,2024-11-25 9:26:34,Працюю full-time,Junior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,android mobile app,ios mobile app",2,2,,,,,,,,,,,,,,,,,,,,,,,
9Abg4E,avBlGE,2024-11-25 9:26:36,Працюю full-time,Senior,QA,Automation QA / AQA,,C# / .NET,Swift,3 роки,Так,Python,,Ні,,Немає,,"Ні, наразі не маю таких планів",,,XCTest,,,Mobile iOS,ios mobile app,2,6,,,,,,,,,,,,,,,,,,,,,,,
66az4Y,VDZxYE,2024-11-25 9:26:38,Працюю full-time,Junior,QA,Automation QA / AQA,,C++,Java,1 рік,Ні,,Java,Ні,,Немає,,Так,TypeScript,,"Maven, Selenide/NSelen/Selen, TestNG",,Самостійно,Web,"web api,web app",1,1.5,,,,,,,,,,,,,,,,,,,,,,,
QNPaQg,G5r7Qe,2024-11-25 9:26:40,Працюю full-time,Head,QA,Head of Frontend & QA,,,,,,,,,,,,,,,,,,,,3,12,,,,,,,,,,,,,,,,,,,,,,,
WaxkPP,YkZq0B,2024-11-25 9:27:01,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Back-end  розробка,C++,C# / .NET,2 роки,Ні,,C# / .NET,Ні,,Немає,,Так,"Важко сказати, ще не визначився (-лась)",.NET,,,Самостійно,Web,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
egkjpk,JM2BD7,2024-11-25 9:27:04,Працюю full-time,Middle,QA,General QA,,,,,,,,,,,,,,,,,,,"web app,ios mobile app,windows desktop apps",3,3,,,,,,,,,,,,,,,,,,,,,,,
WaxkpQ,RkzrPd,2024-11-25 9:27:28,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,TypeScript,2 роки,Ні,,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,Vue.js,,,,Web,,7,7,,,,,,,,,,,,,,,,,,,,,,,
l8J9MX,6MdVke,2024-11-25 9:27:38,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,C++,C# / .NET,5 років,Так,"JavaScript, Мови розробки БД (PL/SQL, Transact-SQL)",JavaScript,Ні,,Немає,,Так,Python,".NET,React,jQuery",,,Самостійно,Web,,4,5,,,,,,,,,,,,,,,,,,,,,,,
5aWgDE,JM2BJ7,2024-11-25 9:27:42,Працюю full-time,Senior,DevOps/SRE,DevOps Engineer,,Python,Python,4 роки,Ні,,,Ні,,Немає,,Так,Go,,,,З допомогою колег,,,4,4,,,,,,,,,,,,,,,,,,,,,,,
GO8jYQ,ZDdQ6y,2024-11-25 9:27:50,Працюю full-time,Junior,QA,Manual QA,,,,,,,,,,,,,,,,,,,web api,2,2,,,,,,,,,,,,,,,,,,,,,,,
Y7NKB5,G5r7YQ,2024-11-25 9:27:51,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,web app,7,7,,,,,,,,,,,,,,,,,,,,,,,
JE5ZeX,vKNWNA,2024-11-25 9:27:54,Працюю full-time,Middle,QA,SDET (Software Development Engineer in Test),,JavaScript,TypeScript,2 роки,Так,Python,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"Playwright, Jest",,,Web,"web app,web api",2,3,,,,,,,,,,,,,,,,,,,,,,,
egkjvx,Rkzr4l,2024-11-25 9:27:59,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,тетсую backend частину embedded продукту,3,3,,,,,,,,,,,,,,,,,,,,,,,
JE5Zr4,5MdOEv,2024-11-25 9:28:14,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web api,windows desktop apps,linux desktop apps",3,3,,,,,,,,,,,,,,,,,,,,,,,
OxOe9g,dvYR2N,2024-11-25 9:28:24,Працюю full-time,Junior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"ios mobile app,android mobile app",1.5,3,,,,,,,,,,,,,,,,,,,,,,,
v8ov8Q,5MdO8Q,2024-11-25 9:28:32,Працюю full-time,Senior,QA,Automation QA / AQA,,Pascal,TypeScript,3 роки,Ні,,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"Playwright, Cypress, JSON",,,Web,"web app,web api",5,5,,,,,,,,,,,,,,,,,,,,,,,
JE5Z4d,LkdoaJ,2024-11-25 9:28:41,Працюю full-time,Senior,QA,Automation QA / AQA,,JavaScript,JavaScript,8 років,Так,TypeScript,JavaScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,,Playwright,,,Web,"web app,web api",8,8,,,,,,,,,,,,,,,,,,,,,,,
29QgvA,ZDdQOz,2024-11-25 9:29:06,Працюю part-time,Tech Lead,SE,Software Engineer / Software Developer,Back-end  розробка,Basic,C# / .NET,10 і більше років,Так,JavaScript,C# / .NET,Ні,,Немає,,"Ні, наразі не маю таких планів",,.NET,,,,Web,,15,15,,,,,,,,,,,,,,,,,,,,,,,
pY86z1,Lkdo0O,2024-11-25 9:29:08,Працюю full-time,Senior,QA,Automation QA / AQA,,Pascal,Java,5 років,Так,"Kotlin, Python","Java, Python, Kotlin",Ні,,Немає,,Так,Python,,"JUnit, JSON, Gradle, Selenide/NSelen/Selen, Selenium",,З допомогою професійних викладачів (курсів або індивідуальних занять),Web,"web app,web api",7,7,,,,,,,,,,,,,,,,,,,,,,,
j81Xe1,OkAVyg,2024-11-25 9:29:15,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"windows desktop apps,web app",5,5,,,,,,,,,,,,,,,,,,,,,,,
dJB4QD,jvBEQE,2024-11-25 9:29:16,Працюю full-time,Junior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api,android mobile app,ios mobile app",3,3,,,,,,,,,,,,,,,,,,,,,,,
X6ZvQP,yzl7Dp,2024-11-25 9:29:36,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api",4,4,,,,,,,,,,,,,,,,,,,,,,,
ZbqX85,PkAPye,2024-11-25 9:29:38,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web api,web app",3,3,,,,,,,,,,,,,,,,,,,,,,,
QNPpRX,PkAPWV,2024-11-25 9:29:39,Працюю full-time,Architect,SE,System Architect,,,,,,,,,,,,,,,,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,,
g8KxWM,G5r7do,2024-11-25 9:29:39,Втратив(-ла) роботу і шукаю нову,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,JavaScript,2 роки,Так,TypeScript,TypeScript,Ні,,Немає,,Так,Python,React,,,Самостійно,"Web, Mobile cross-platform",,2,3,,,,,,,,,,,,,,,,,,,,,,,
ZbqL4A,G5r7kk,2024-11-25 9:29:40,Працюю full-time,Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api",10,10,,,,,,,,,,,,,,,,,,,,,,,
x8OEjd,KkMRZ8,2024-11-25 9:29:42,Працюю full-time,Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,ios mobile app,5,5,,,,,,,,,,,,,,,,,,,,,,,
JE5x47,kvYzBj,2024-11-25 9:30:09,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Front-end  розробка,Pascal,TypeScript,2 роки,Ні,,"TypeScript, Мови розробки БД (PL/SQL, Transact-SQL)",Ні,,Немає,,Так,"Мови розробки БД (PL/SQL, Transact-SQL)","Next.js,React",,,Самостійно,Web,,2,3,,,,,,,,,,,,,,,,,,,,,,,
b1bXxZ,AylQY0,2024-11-25 9:30:31,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,web app,3,3,,,,,,,,,,,,,,,,,,,,,,,
z8PRLk,OkAVPp,2024-11-25 9:30:50,Працюю full-time,Middle,QA,Automation QA / AQA,,JavaScript,JavaScript,3 роки,Так,Python,TypeScript,Ні,,Немає,,Так,TypeScript,,"Cypress, Mocha",,Самостійно,Web,"web app,web api",3,3,,,,,,,,,,,,,,,,,,,,,,,
WaxX2R,4z2GdY,2024-11-25 9:30:52,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Desktop,Pascal,C# / .NET,5 років,Ні,,C# / .NET,Ні,,Немає,,Так,C++,,,,Самостійно,Desktop,,5,5,,,,,,,,,,,,,,,,,,,,,,,
egkjPk,W1AZMQ,2024-11-25 9:30:58,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"android mobile app,ios mobile app",2,2,,,,,,,,,,,,,,,,,,,,,,,
l8JXAk,4z2GVO,2024-11-25 9:31:06,Працюю full-time,Middle,QA,Manual QA,,Pascal,Python,2 роки,Ні,,Python,Ні,,Немає,,Так,C,,Self made,,Самостійно,Microcontrollers / Embedded / IoT,embedded (electronics/automotive etc),2,2,,,,,,,,,,,,,,,,,,,,,,,
Eoyr4L,xvd66v,2024-11-25 9:31:17,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,web app,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
GO8azZ,16rBQW,2024-11-25 9:31:19,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"android mobile app,ios mobile app",4,4,,,,,,,,,,,,,,,,,,,,,,,
VW2BRl,DMVWbN,2024-11-25 9:31:25,"Тимчасово не працюю і не шукаю роботу (sabbatical, декрет, волонтерство etc)",Staff,SE,Software Engineer / Software Developer,Front-end  розробка,C,Clojure,10 і більше років,Так,JavaScript,"Clojure, TypeScript",Так,"Clojure, JavaScript",Є,"Clojure, JavaScript","Ні, наразі не маю таких планів",,React,,,,Web,,14,14,,,,,,,,,,,,,,,,,,,,,,,
9AbPQV,avBl1v,2024-11-25 9:31:27,Працюю part-time,Junior,QA,Manual QA,,,,,,,,,,,,,,,,,,,windows desktop apps,0.1,0.25,,,,,,,,,,,,,,,,,,,,,,,
4leRvO,8MdEBA,2024-11-25 9:31:27,Працюю full-time,Junior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"ios mobile app,android mobile app",1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
9AbPEY,evBoVE,2024-11-25 9:31:38,Працюю full-time,Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"android mobile app,ios mobile app",3,3,,,,,,,,,,,,,,,,,,,,,,,
GO8arZ,avBlpq,2024-11-25 9:31:43,Працюю full-time,Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"ios mobile app,android mobile app",5,5,,,,,,,,,,,,,,,,,,,,,,,
0qNg1P,lvN4yW,2024-11-25 9:31:47,Працюю full-time,Senior,QA,General QA,,Pascal,JavaScript,1 рік,Ні,,JavaScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"Postman, Playwright",,,Web,"web app,web api",7,7,,,,,,,,,,,,,,,,,,,,,,,
g8KxPl,274ROM,2024-11-25 9:31:52,Працюю full-time,Senior,QA,Manual QA,,JavaScript,JavaScript,Пів року,Ні,,JavaScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"Playwright, Postman, JSON, Grafana K6",,,Web,"web app,web api",5,5,,,,,,,,,,,,,,,,,,,,,,,
29Qgqg,ovAxgx,2024-11-25 9:31:58,Працюю full-time,Middle,QA,Automation QA / AQA,,C,Python,2 роки,Так,Kotlin,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"PyTest, Gradle, Playwright, TestNG, Postman",,,Web,web api,1,2,,,,,,,,,,,,,,,,,,,,,,,
