"Timestamp","Якою мовою ви написали свою першу програму ?","Чи можете виділити одну мову програмування, якою ви користуєтеся найчастіше?","Якою мовою ви пишете для роботи зараз?","Frontend: які фреймворки використовуєте в роботі?","Frontend: які фреймворки використовуєте в роботі?  ","Backend: які фреймворки використовуєте в роботі?","Backend: які фреймворки використовуєте в роботі?","Mobile: які фреймворки використовуєте в роботі?","Mobile: які фреймворки використовуєте в роботі?"," Інші фреймворки/бібліотеки","Улюблене IDE","Web: які фреймворки використовуєте в роботі?","Web: які фреймворки використовуєте в роботі?","Фреймворки для Distributed computing","Distributed computing: інші фреймворки","Інші","Версія JVM","Улюблене IDE","Найважливі бібліотеки та фреймворки, котрі ви використовуєте (через кому)","Улюблене IDE","Web: які фреймворки використовуєте в роботі?","Web: які фреймворки використовуєте в роботі?","Обробка даних: які фреймворки використовуєте в роботі?","Чи використовуєте ви mypy?","Бібліотеки загального призначення","Улюблене IDE","Які відомі веб-фреймворки ви використовуєте?","Інші важливі бібліотеки, які використовуєте в роботі","Яку версію PHP  ви використовуєте ?","Улюблене  IDE","Якими мовами ви пишете для роботи зараз?","Які додаткові мови ви використовуєте для роботи?","Яку мову програмування ви б обрали зараз для наступного комерційного проєкту?","Чи є у вас проєкти з відкритим кодом?  Якщо є, то якими мовами?","Чи плануєте ви цього року вивчити ще одну мову програмування?","Якщо так, то що за мова це буде? ","Ви плануєте освоїти наступну мову","Ви працюєте здебільшого в царині:","Ваша платформа?","Скільки років ви працюєте в індустрії розробки ПЗ?","Скільки років ви працюєте з мовою, що вибрана вами в якості основної? ","Скільки вам років?","Ви живете зараз в Україні?","Чи брали ви участь у наших попередніх опитуваннях на цю ж тему?"
"2021/01/04 11:06:13 AM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","Spring","","","","","8.x","intellij","","","","","","","","","","","","","","JavaScript;TypeScript","Java","","Ні","Kotlin","Самостійно","Бекенд програмування","","5","5","30","Так","Так"
"2021/01/04 11:06:22 AM GMT+2","PHP","Так","JavaScript","Angular;React;Vue.js","","Express","","React Native","","","","","","","","","","","","","","","","","","","","","","","","Python","Go","JavaScript;Python;PHP;TypeScript;Groovy","Так","Go","Самостійно","Бекенд програмування","","10","5","34","Так","Ні"
"2021/01/04 11:06:48 AM GMT+2","C","Так","Swift","","","","","","","","","","","","","","","","UIKit, SwiftUI","Xcode","","","","","","","","","","","","","Swift","","Ні","","Самостійно","Мобільна розробка","iOS","2","2","23","Так","Ні"
"2021/01/04 11:06:53 AM GMT+2","C++","Так","C#","","","","","","","","","","","","","","","","ASP.NET Core, Angular 10","JetBrains Rider","","","","","","","","","","","","JavaScript;Java;Python;TypeScript","C#","JavaScript;Java;C#;TypeScript;Go","Так","Rust","Самостійно","Бекенд програмування","","8","8","27","Так","Так"
"2021/01/04 11:06:57 AM GMT+2","Java","Так","Java","","","","","","","","","Spring","","","","","8.x","Intelij IDEA","","","","","","","","","","","","","","JavaScript","Java","","Так","Scala","Самостійно","Бекенд програмування","","7","7","30","Так","Не пам'ятаю"
"2021/01/04 11:07:10 AM GMT+2","JavaScript","Так","Scala","","","","","","","","","","","","","","","","Spark","Intelij","","","","","","","","","","","","Java;Python","Scala","Java;Scala","Ні","","","Обробка масивів даних","","8","3","26","Так","Так"
"2021/01/04 11:07:29 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","Entity Framework, Automapper","Visual Studio","","","","","","","","","","","","JavaScript;T-SQL","C#","","Так","R","Самостійно","Бекенд програмування","","5","5","26","Так","Так"
"2021/01/04 11:07:33 AM GMT+2","JavaScript","Так","Python","","","","","","","","","","","","","","","","","","","aiohttp","","Так","","pycharm","","","","","","JavaScript","Go","Python;Go","Так","Rust","Самостійно","Бекенд програмування","","3","3","25","Так","Не пам'ятаю"
"2021/01/04 11:07:37 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","WPF","Visual Studio","","","","","","","","","","","","Python","C#","","Так","Python","Самостійно","Десктоп-розробка","","4","4","26","Так","Так"
"2021/01/04 11:07:41 AM GMT+2","Pascal/Delphi","Так","JavaScript","Angular;React","","Express","","","","","WebStorm","","","","","","","","","","","","","","","","","","","","","TypeScript","JavaScript","JavaScript","Так","Python","Самостійно","Веб-фронтенд","","5","3","28","Так","Не пам'ятаю"
"2021/01/04 11:08:21 AM GMT+2","Pascal/Delphi","Ні","","","","","","","","","","","","","","","","","","VS, DataGrip, PyCharm","","","","","","","","","","","C#;Python;T-SQL","","Python","","","","Самостійно","Бекенд програмування","","20","20","41","Ні","Не пам'ятаю"
"2021/01/04 11:08:33 AM GMT+2","Pascal/Delphi","Так","Swift","","","","","","","","","","","","","","","","Foundation, UIKit, RxSwift","Xcode","","","","","","","","","","","","Ruby","Swift","","Ні","","","Мобільна розробка","iOS","7","5","30","Так","Не пам'ятаю"
"2021/01/04 11:08:34 AM GMT+2","Basic","Так","C#","","","","","","","","","","","","","","","","","Visual Studio","","","","","","","","","","","","JavaScript;TypeScript;F#","C#","C#;F#, Standard ML","Ні","","","Бекенд програмування","","15","15","34","Так","Ні"
"2021/01/04 11:08:40 AM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","Django","","NumPy;pandas","Так","","pycharm","","","","","","JavaScript","Rust","Python","Так","Rust","Самостійно","Бекенд програмування","","1.5","1.5","19","Так","Так"
"2021/01/04 11:09:09 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TypeScript;T-SQL","C#","","Ні","","","Бекенд програмування","","12","12","34","Так","Так"
"2021/01/04 11:09:11 AM GMT+2","Basic","Так","C#","","","","","","","","","","","","","","","","","Microsoft Visual Studio","","","","","","","","","","","","JavaScript;T-SQL","C#","C#;F#","Так","Python","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","13","13","36","Так","Так"
"2021/01/04 11:09:22 AM GMT+2","Pascal/Delphi","Так","TypeScript","Vue.js","Paper.js, Quasar","","","","","","VS code","","","","","","","","","","","","","","","","","","","","","","TypeScript","TypeScript","Ні","Python","","Веб-фронтенд","","2","2","22","Так","Так"
"2021/01/04 11:09:27 AM GMT+2","Java","Так","Java","","","","","","","","","Spring","","Spark","","","11.x","Intellij IDEA","","","","","","","","","","","","","","JavaScript;Python","Java","Java","Так","Python","Самостійно","Бекенд програмування","","2","2","34","Так","Так"
"2021/01/04 11:10:05 AM GMT+2","Pascal/Delphi","Так","Apex","","","","","","","","","","","","","","","","","IntelliJ IDEA","","","","","","","","","","","","JavaScript","JavaScript","","Так","Python","Самостійно","Веб-фронтенд","","3","3","24","Так","Ні"
"2021/01/04 11:10:18 AM GMT+2","Pascal/Delphi","Так","TypeScript","React","Angular.js","","","","","Redux","visual studio code","","","","","","","","","","","","","","","","","","","","","JavaScript;PHP","TypeScript","JavaScript;TypeScript","Так","Scala","Самостійно","Веб-фронтенд","","4","2","24","Так","Не пам'ятаю"
"2021/01/04 11:10:30 AM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","Spring","","Kafka","","","11.x","","","","","","","","","","","","","","","Scala","C#","C#","Так","JavaScript","Самостійно","Бекенд програмування","","2","2","22","Так","Ні"
"2021/01/04 11:10:55 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","","Visual Studio / Visual Studio Code","","","","","","","","","","","","JavaScript;Python;TypeScript;T-SQL","C#","","Ні","","","Бекенд програмування","","10","8","34","Так","Ні"
"2021/01/04 11:10:59 AM GMT+2","Pascal/Delphi","Ні","","","","","","","","","","","","","","","","","Jooby,Fiber,Angular","IDEA","","","","","","","","","","","JavaScript;Java;TypeScript;Go","Python;Go","Java","JavaScript;Java","Так","Rust","Самостійно","Бекенд програмування","","8","8","30","Так","Не пам'ятаю"
"2021/01/04 11:11:25 AM GMT+2","Swift","Так","Swift","","","","","","","","","","","","","","","","Firebase","","","","","","","","","","","","","","Swift","","Так","Flutter","Самостійно","Мобільна розробка","iOS","3","3","30","Так","Ні"
"2021/01/04 11:11:43 AM GMT+2","C#","Так","C#","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JavaScript;TypeScript;T-SQL","C#","","Ні","","","Бекенд програмування","","0.5","0.5","25","Так","Ні"
"2021/01/04 11:11:47 AM GMT+2","JavaScript","Так","Python","","","","","","","","","","","","","","","","","","Django","","NumPy;pandas","Ні","Requests, DRF, Gunicorn...","VS Code","","","","","","JavaScript","Python","JavaScript;Python","Ні","","","Бекенд програмування","","2","2","21","Так","Так"
"2021/01/04 11:11:56 AM GMT+2","Java","Так","Kotlin","","","","","","","","","","","","","","","","","Android studio","","","","","","","","","","","","Kotlin","Kotlin","Kotlin","Ні","","Самостійно","Мобільна розробка","Android","3","1","25","Так","Так"
"2021/01/04 11:12:02 AM GMT+2","C++","Так","Java","","","","","","","","","Spring","","Kafka","","","11.x","","","","","","","","","","","","","","","Groovy","Kotlin","Java;Groovy","Так","Kotlin","Самостійно","Бекенд програмування","","7","7","32","Так","Так"
"2021/01/04 11:12:15 AM GMT+2","Pascal/Delphi","Так","Scala","","","","","","","","","","","","","","","","","Intellij IDEA","","","","","","","","","","","","Java;TypeScript","Scala","","Ні","","Самостійно","Бекенд програмування","","5","1","34","Так","Так"
"2021/01/04 11:12:28 AM GMT+2","Pascal","Так","C++","","","","","","","","","","","","","","","","Qt","Visual studio","","","","","","","","","","","","JavaScript;C;T-SQL","C++","","Так","Python","Самостійно","","","2","2","23","Так","Так"
"2021/01/04 11:12:37 AM GMT+2","Pascal/Delphi","Так","Kotlin","","","","","","","","","","","","","","","","Spring","IntelliJ IDEA","","","","","","","","","","","","Java","Java","Java","Так","Kotlin","Самостійно","Бекенд програмування","","6","5","32","Так","Так"
"2021/01/04 11:12:39 AM GMT+2","PHP","Так","Python","","","","","","","","","","","","","","","","","","Django;Flask","aiohttp, fastAPI","pandas","Ні","","Atom","","","","","","PL-SQL","Rust","","Так","Rust","Самостійно","Бекенд програмування","","2","2","43","Так","Так"
"2021/01/04 11:12:47 AM GMT+2","Basic","Так","Java","","","","","","","","","Spring;Play","","","","","8.x","","","","","","","","","","","","","","","Python","Java","","Ні","","","Бекенд програмування","","15","5","","Так","Так"
"2021/01/04 11:12:48 AM GMT+2","Pawn","Так","Java","","","","","","","","","","","","","Selenium, Hibernate","8.x","Intellij IDEA","","","","","","","","","","","","","","","Java","","Ні","","","Автоматизація","","1","1","22","Так","Так"
"2021/01/04 11:12:50 AM GMT+2","C++","Так","C#","","","","","","","","","","","","","","","",".NET Core, .NET Framework, .NET Standard, ","Visual Studio","","","","","","","","","","","","","C#","C#","Ні","","","Бекенд програмування","","4","4","21","Так","Ні"
"2021/01/04 11:14:04 AM GMT+2","C","Так","Go","","","","","","","","","","","","","","","","Echo, testify, restly","Sublime Text","","","","","","","","","","","","JavaScript;Python;C;PL-SQL","Go","Go;Rust","Так","Rust","Самостійно","Бекенд програмування","","3","1","22","Так","Ні"
"2021/01/04 11:14:42 AM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","","","Kafka;Spark","","","8.x","Intellij Idea","","","","","","","","","","","","","","Go;Scala","Scala","","Так","Python","Самостійно","Обробка масивів даних","","6","6","28","Так","Так"
"2021/01/04 11:15:07 AM GMT+2","Basic","Так","Java","","","","","","","","","Spring","","Akka","","","11.x","IDEA","","","","","","","","","","","","","","JavaScript;Kotlin","Kotlin","Kotlin","Так","Python","Самостійно","Бекенд програмування","","15","1","38","Так","Не пам'ятаю"
"2021/01/04 11:15:17 AM GMT+2","PHP","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Symfony","","7.x","PhpStorm","","JavaScript","PHP","","Так","Go","Самостійно","Бекенд програмування","","2","2","23","Ні","Не пам'ятаю"
"2021/01/04 11:15:38 AM GMT+2","Pascal/Delphi","Так","JavaScript","Angular;React","","","WeLex","","","","PHPStorm","","","","","","","","","","","","","","","","","","","","","PHP;TypeScript","JavaScript","JavaScript;PHP;TypeScript","Ні","","","Фронтенд та бекенд","","7","7","38","Так","Не пам'ятаю"
"2021/01/04 11:16:03 AM GMT+2","Basic","Так","Java","","","","","","","","","Spring","","","","","8.x","IDEA","","","","","","","","","","","","","","","Java","Java","Ні","","Самостійно","Бекенд програмування","","2","2","27","Так","Ні"
"2021/01/04 11:16:04 AM GMT+2","C","Так","Ruby","","","","","","","","","","","","","","","","Rails, Sidekiq","Atom","","","","","","","","","","","","JavaScript","Ruby","Ruby","Ні","","","Бекенд програмування","","4","4","22","Так","Не пам'ятаю"
"2021/01/04 11:16:09 AM GMT+2","Pascal/Delphi","Так","JavaScript","React","ChartJs","Express","Passport, Helmet","","","","WebStorm","","","","","","","","","","","","","","","","","","","","","Java","JavaScript","","Ні","","","Бекенд програмування","","5","3","26","Так","Ні"
"2021/01/04 11:16:11 AM GMT+2","Pascal/Delphi","Так","TypeScript","","Pixi","","","","","","Webstorm ","","","","","","","","","","","","","","","","","","","","","JavaScript","JavaScript","","Ні","","","Веб-фронтенд","","5","4","27","Так","Не пам'ятаю"
"2021/01/04 11:16:11 AM GMT+2","C","Так","C","","","","","","","","","","","","","","","","esp-idf","eclipse","","","","","","","","","","","","Python;C++","C++","C++;C","Ні","","","IoT","","6","6","32","Так","Ні"
"2021/01/04 11:16:24 AM GMT+2","C++","Так","Python","","","","","","","","","","","","","","","","","","","","NumPy;pandas","Ні","Requests","Pycharm","","","","","","","Java","","Ні","","Самостійно","BA","","6","2","30","Так","Так"
"2021/01/04 11:16:32 AM GMT+2","Pascal/Delphi","Ні","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JavaScript;PHP;Ruby;1C;T-SQL","","Ruby","","Так","TypeScript","Самостійно","Бекенд програмування","","3","3","34","Так","Ні"
"2021/01/04 11:16:41 AM GMT+2","JavaScript","Так","Kotlin","","","","","","","","","","","","","","","","","Android Studio","","","","","","","","","","","","Java;Dart","Kotlin","Java;Kotlin","Так","Dart","Самостійно","Мобільна розробка","Android","5","3","25","Так","Так"
"2021/01/04 11:17:02 AM GMT+2","Pascal/Delphi","Так","Clojure","","","","","","","","","","","","","","","","aleph,manifold","IntelliJ IDEA","","","","","","","","","","","","Java;Python","Rust","Python;Clojure","Ні","","Самостійно","Бекенд програмування","","9","1","30","Так","Не пам'ятаю"
"2021/01/04 11:17:08 AM GMT+2","Pascal/Delphi","Так","C++","","","","","","","","","","","","","","","","google test, stl","","","","","","","","","","","","","C","C++","","Так","Python","Самостійно","Системне програмування","","1.5","3","26","Так","Так"
"2021/01/04 11:17:36 AM GMT+2","Basic","Так","JavaScript","Angular","","Next.js","","React Native","","","Visual studio","","","","","","","","","","","","","","","","","","","","","Python","TypeScript","Python","Так","Python","Самостійно","Automation Testing","","15","5","37","Так","Не пам'ятаю"
"2021/01/04 11:17:41 AM GMT+2","Java","Так","Java","","","","","","","","","Spring","","","","","9.x","Intellij idea","","","","","","","","","","","","","","JavaScript;TypeScript","Java","","Ні","","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","3","3","33","Так","Не пам'ятаю"
"2021/01/04 11:18:05 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","",".net core","Visual Studio","","","","","","","","","","","","JavaScript;T-SQL","C#","C#","Ні","","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","6","6","32","Так","Так"
"2021/01/04 11:18:25 AM GMT+2","C","Так","Ruby","","","","","","","","","","","","","","","","Ruby on Rails","VS Code","","","","","","","","","","","","JavaScript;Python","Python","Python;Ruby","Так","Go","Самостійно","Бекенд програмування","","5","3","23","Так","Ні"
"2021/01/04 11:18:36 AM GMT+2","C++","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Magento","","7.x","PhpStorm","","JavaScript","PHP","","Ні","","","Бекенд програмування","","8","7","41","Так","Так"
"2021/01/04 11:19:03 AM GMT+2","JavaScript","Так","JavaScript","React","","Express","","","","","Webstorm ","","","","","","","","","","","","","","","","","","","","","","JavaScript","","Ні","","За допомогою професійних викладачів (курсів або індивідуальних занять)","Веб-фронтенд","","1","1","24","Так","Не пам'ятаю"
"2021/01/04 11:19:44 AM GMT+2","Basic","Так","Java","","","","","","","","","Spring","Hibernate Jpa","Kafka;Spark;Hadoop","Kafka Streams","","11.x","Intellij","","","","","","","","","","","","","","Kotlin;Scala","Kotlin","","Ні","","","Бекенд програмування","","14","14","40","Так","Так"
"2021/01/04 11:19:50 AM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","","","Kafka;Spark;Hadoop","","","11.x","Intellij IDEA","","","","","","","","","","","","","","Python","Java","","Ні","","","Обробка масивів даних","","","3","34","Так","Ні"
"2021/01/04 11:19:52 AM GMT+2","Pascal/Delphi","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel","","7.x","phpstorm","","JavaScript","PHP","","Так","Go","Самостійно","Бекенд програмування","","1","2","25","Так","Ні"
"2021/01/04 11:20:04 AM GMT+2","Basic","Так","Swift","","","","","","","","","","","","","","","","RxSwift, Alamofire, SnapKit","Xcode","","","","","","","","","","","","Python;R","Python","","Так","Dart","Самостійно","Мобільна розробка","iOS","20","4","39","Ні","Не пам'ятаю"
"2021/01/04 11:20:04 AM GMT+2","JavaScript","Так","Bash","","","","","","","","","","","","","","","","","Visual Studio Code","","","","","","","","","","","","JavaScript","C#","JavaScript","Так","Python","Самостійно","DevOps","","1","1","19","Так","Так"
"2021/01/04 11:20:08 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","ASP .NET Core, EF Core, MVC, React, Redux, Docker","Visual Studio","","","","","","","","","","","","JavaScript;C#;TypeScript;T-SQL","C#","JavaScript;C#;TypeScript","Ні","","Самостійно","Бекенд програмування","","6","6","23","Так","Так"
"2021/01/04 11:20:18 AM GMT+2","PHP","Так","TypeScript","Angular;Vue.js","","NestJS","","","","rx.js, Nuxt.js, GraphQL","PhpStorm","","","","","","","","","","","","","","","","","","","","","JavaScript;C#;TypeScript","C#","JavaScript;TypeScript","Так","C#","Самостійно","Веб-фронтенд","","7","4","29","Так","Ні"
"2021/01/04 11:20:24 AM GMT+2","PHP","Так","JavaScript","React","","Express","","React Native","","","","","","","","","","","","","","","","","","","","","","","","TypeScript;Kotlin;Go;Dart","Go","","Ні","","","Веб-фронтенд","","10","10","27","Так","Не пам'ятаю"
"2021/01/04 11:20:33 AM GMT+2","Python","Так","C#","","","","","","","","","","","","","","","","","visual studio","","","","","","","","","","","","JavaScript;C#;Python;TypeScript","C#","","Так","Java","Самостійно","Бекенд програмування","","1.5","1","25","Так","Ні"
"2021/01/04 11:20:48 AM GMT+2","PHP","Так","Java","","","","","","","","","Spring","","Kafka","","","8.x","intellij idea","","","","","","","","","","","","","","JavaScript;Python","Java","","Так","C#","Самостійно","Бекенд програмування","","8","3","30","Так","Не пам'ятаю"
"2021/01/04 11:20:49 AM GMT+2","C++","Так","Python","","","","","","","","","","","","","","","","","","Django;Flask","","TensorFlow;NumPy;pandas","Ні","pylint, gunicorn, coverage, SQLAlchemy, requests, jinja2","","","","","","","JavaScript","Java","Python","Ні","","","Бекенд програмування","","0.5","1","21","Так","Ні"
"2021/01/04 11:20:53 AM GMT+2","Pascal/Delphi","Так","JavaScript","React","","Express;Next.js;NestJS;Koa","","","","apollo, final-form, lodash","WebStorm","","","","","","","","","","","","","","","","","","","","","TypeScript","JavaScript","JavaScript;TypeScript","Ні","JavaScript","Самостійно","Веб-фронтенд","","4","4","27","Так","Не пам'ятаю"
"2021/01/04 11:21:04 AM GMT+2","Pascal/Delphi","Так","Go","","","","","","","","","","","","","","","","Logrus","GoLand","","","","","","","","","","","","JavaScript;Python;TypeScript","Go","","Ні","","","Бекенд програмування","","2","1","19","Так","Так"
"2021/01/04 11:21:08 AM GMT+2","PHP","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel;Symfony","","7.x","PHPStorm","","JavaScript;TypeScript","TypeScript","","Так","node.js","Самостійно","Бекенд програмування","","7","7","27","Так","Ні"
"2021/01/04 11:21:12 AM GMT+2","C","Так","Python","","","","","","","","","","","","","","","","","","","","","Ні","PySide, PyQt","PyCharm","","","","","","JavaScript","Python","","Так","JavaScript","Самостійно","Десктоп-розробка","","1.6","1.8","21","Так","Ні"
"2021/01/04 11:21:17 AM GMT+2","C++","Так","C++","","","","","","","","","","","","","","","","OpenCV, Open3D","VS Code","","","","","","","","","","","","Python","C++","","Ні","","Самостійно","Десктоп-розробка","","3","3","25","Так","Не пам'ятаю"
"2021/01/04 11:21:18 AM GMT+2","C++","Так","C#","","","","","","","","","","","","","","","","ASP.NET Core","Visual studio professional 2019","","","","","","","","","","","","TypeScript;T-SQL","C#","","Ні","","Самостійно","Бекенд програмування","","3","3","28","Так","Так"
"2021/01/04 11:21:39 AM GMT+2","C","Ні","","","","","","","","","","","","","","","","","Spring, ","Intelij idea","","","","","","","","","","","JavaScript;Java;Python;TypeScript","","Python","Java","Ні","","","Бекенд програмування","","20","15","42","Так","Не пам'ятаю"
"2021/01/04 11:21:43 AM GMT+2","Basic","Так","C++","","","","","","","","","","","","","","","","Qt, MFC","Visual Studio, Qt Creator","","","","","","","","","","","","Python","C++","","Так","Rust","Самостійно","Embedded","","8","7","30","Так","Так"
"2021/01/04 11:21:53 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","","Visual Studio ","","","","","","","","","","","","JavaScript;Python;C++;T-SQL","C#","","Так","Java","Самостійно","Бекенд програмування","","1","1","19","Так","Ні"
"2021/01/04 11:22:15 AM GMT+2","Python","Так","Java","","","","","","","","","Spring","","Kafka","","","11.x","Intelij Idea","","","","","","","","","","","","","","JavaScript","Java","","Ні","","Самостійно","Бекенд програмування","","3","3","32","Так","Так"
"2021/01/04 11:22:17 AM GMT+2","C","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Magento 2","","7.x","PhpStorm","","JavaScript","Python","C","Так","Python","Самостійно","Бекенд програмування","","0.4","0.4","22","Так","Ні"
"2021/01/04 11:22:21 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","",".Net Framework","Visual Studio 2019","","","","","","","","","","","","APL","C#","","Ні","","Самостійно","Десктоп-розробка","","5","4","27","Так","Так"
"2021/01/04 11:22:33 AM GMT+2","Java","Так","Java","","","","","","","","","Spring","","","","","11.x","","","","","","","","","","","","","","","","JavaScript","","Так","JavaScript","Самостійно","Бекенд програмування","","5","3","30","Так","Ні"
"2021/01/04 11:22:56 AM GMT+2","C++","Так","JavaScript","React","","Express","","React Native","","","","","","","","","","","","","","","","","","","","","","","","TypeScript","JavaScript","JavaScript","Так","","","Веб-фронтенд","","","","","Так",""
"2021/01/04 11:23:07 AM GMT+2","Java","Так","Kotlin","","","","","","","","","","","","","","","","Android Jetpack","Android Studio","","","","","","","","","","","","Java","Kotlin","","Так","Python","Самостійно","Мобільна розробка","Android","2","1","20","Так","Ні"
"2021/01/04 11:23:29 AM GMT+2","Basic","Так","Python","","","","","","","","","","","","","","","","","","Django","","","Ні","","","","","","","","JavaScript","Python","Python","Ні","","","Бекенд програмування","","21","4","40","Так","Не пам'ятаю"
"2021/01/04 11:23:43 AM GMT+2","JavaScript","Так","JavaScript","React","","Next.js","","","","","","","","","","","","","","","","","","","","","","","","","","TypeScript","JavaScript","","Ні","","Самостійно","Веб-фронтенд","","1","2","23","Так","Ні"
"2021/01/04 11:24:07 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","ASP.NET, Entity Framework, Angular","Visual studio","","","","","","","","","","","","TypeScript;T-SQL","C#","C#;TypeScript","Так","JavaScript","Самостійно","Бекенд програмування","","1","1","19","Так","Ні"
"2021/01/04 11:24:09 AM GMT+2","Pascal/Delphi","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel;Symfony;Zend;Yii","","7.x"," PhpStorm","","JavaScript;Python","PHP","JavaScript;PHP","Ні","Java","Самостійно","Бекенд програмування","","10","11","37","Так","Не пам'ятаю"
"2021/01/04 11:24:09 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","","JetBrains Rider","","","","","","","","","","","","Java;Python;T-SQL;PL-SQL;Groovy","Python","","Так","F#","Самостійно","Бекенд програмування","","9","6","28","Так","Ні"
"2021/01/04 11:24:12 AM GMT+2","Pascal/Delphi","Так","Go","","","","","","","","","","","","","","","","","GoLand","","","","","","","","","","","","C;PL-SQL","Go","Ruby;Go","Ні","Rust","Самостійно","Бекенд програмування","","3","2","23","Так","Не пам'ятаю"
"2021/01/04 11:24:19 AM GMT+2","Java","Так","Java","","","","","","","","","Spring","","Akka","","","11.x","Idea","","","","","","","","","","","","","","Python;Scala","Java","Java","Так","Python","Самостійно","Бекенд програмування","","3","3","28","Ні","Ні"
"2021/01/04 11:24:23 AM GMT+2","C","Так","Java","","","","","","","","","Spring","","Kafka","","","11.x","Jet brains","","","","","","","","","","","","","","","Java","","Ні","","","Бекенд програмування","","4","4","24","Так","Так"
"2021/01/04 11:24:30 AM GMT+2","Apex","Так","Apex","","","","","","","","","","","","","","","","","VS Code","","","","","","","","","","","","JavaScript","Apex","","Так","TypeScript","Самостійно","Обробка масивів даних","","1","1","33","Так","Ні"
"2021/01/04 11:24:34 AM GMT+2","Pascal/Delphi","Так","Go","","","","","","","","","","","","","","","","gRPC, fasthttp","Goland ","","","","","","","","","","","","JavaScript;PHP;TypeScript","Go","JavaScript;TypeScript;Go;Rust","Так","Rust","Самостійно","Бекенд програмування","","9","3","28","Так","Так"
"2021/01/04 11:25:01 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","",".net, .net core","vs code","","","","","","","","","","","","JavaScript;TypeScript;T-SQL","C#","JavaScript;C#;T-SQL","Ні","","","Бекенд програмування","","7","7","27","Так","Так"
"2021/01/04 11:25:28 AM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","Spring","","Kafka","","","13.x","Intellij IDEA","","","","","","","","","","","","","","Python","Scala","","Так","Scala","Самостійно","Бекенд програмування","","4","2","29","Так","Ні"
"2021/01/04 11:25:31 AM GMT+2","Pascal/Delphi","Так","C++","","","","","","","","","","","","","","","","GTest Framework, Boost","VSCode","","","","","","","","","","","","Python;C","C++","","Так","C#","Самостійно","Системне програмування","","1","1","24","Так","Ні"
"2021/01/04 11:25:39 AM GMT+2","C","Так","Python","","","","","","","","","","","","","","","","","","Django","","pandas","Ні","psycopg2, pymodbus","Sublime","","","","","","JavaScript","Python","JavaScript;Python","Так","Go","Самостійно","IoT","","5","8","41","Так","Не пам'ятаю"
"2021/01/04 11:25:52 AM GMT+2","Java","Так","JavaScript","React","","Express","","React Native","","","VS Code","","","","","","","","","","","","","","","","","","","","","Swift","JavaScript","JavaScript","Так","TypeScript","Самостійно","Веб-фронтенд","","3","2","22","Так","Ні"
"2021/01/04 11:26:16 AM GMT+2","C++","Так","C#","","","","","","","","","","","","","","","","Xamarin","Visual studio code","","","","","","","","","","","","Никакие","Kotlin","","Так","Kotlin","Самостійно","Мобільна розробка","Використовую кросплатформ фреймворк","2.5","2.5","22","Так","Не пам'ятаю"
"2021/01/04 11:26:18 AM GMT+2","Pascal/Delphi","Ні","","","","","","","","","","","","","","","","","nuxtjs, nestjs, rails, rom-rb, grails","visual studio code","","","","","","","","","","","PHP;TypeScript;Ruby;Groovy","Crystal","Ruby","","Ні","","Самостійно","Бекенд програмування","","10","4","33","Так","Так"
"2021/01/04 11:26:52 AM GMT+2","C","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Symfony;Yii","","7.x","","","JavaScript;Go","PHP","","Так","TypeScript","Самостійно","Бекенд програмування","","9","7","33","Так","Ні"
