Timestamp,FirstLanguage,MainLanguage,NowLanguage,Main2,AdditionalLanguages1,NextLanguage,PetProjectsLanguages,Learn,LearnLanguage,LearnWay,ExperienceInProgrammingYears,ExperienceInLanguageYears,AgeYears,InUA,InPrev
1/2/2019 11:04:51,JavaScript,Так/Да,C++,,"C#, Python",C++,"C#, Python, C++",Так / Да,Swift,Книги та документацію // Книги и документацию,,,,,
1/2/2019 11:04:56,Pascal/Delphi,Так/Да,JavaScript,,TypeScript,JavaScript,"JavaScript, TypeScript",Ні / Нет,,Книги та документацію // Книги и документацию,5,5,27,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:04:59,Pascal/Delphi,Так/Да,PHP,,"JavaScript, Unix Shell, T-SQL",PHP,"JavaScript, PHP, Go, T-SQL",Так / Да,Go,Книги та документацію // Книги и документацию,4,3,26,Так /  Да,Так  / Да
1/2/2019 11:05:08,Java,Так/Да,PHP,,JavaScript,Python,PHP,Так / Да,Python,Книги та документацію // Книги и документацию,1.5,1.5,23,Так /  Да,Так  / Да
1/2/2019 11:05:09,JavaScript,Так/Да,PHP,,"JavaScript, Java, Python, NodeJS",PHP,"Java, PHP",Так / Да,C++,Онлайн-курси // Онлайн-курсы,1,1,18,Так /  Да,Так  / Да
1/2/2019 11:05:12,C++,Так/Да,JavaScript,,,JavaScript,"JavaScript, C#",Ні / Нет,,Книги та документацію // Книги и документацию,2,1,23,Так /  Да,Ні / Нет
1/2/2019 11:05:15,Basic,Так/Да,JavaScript,,Java,JavaScript,JavaScript,Так / Да,Java,Онлайн-курси // Онлайн-курсы,2,2,22,Так /  Да,Ні / Нет
1/2/2019 11:05:18,Pascal/Delphi,Так/Да,PHP,,"JavaScript, Unix Shell",JavaScript,,Так / Да,JavaScript,Онлайн-курси // Онлайн-курсы,10,10,32,Ні / Нет,Так  / Да
1/2/2019 11:05:19,Java,Так/Да,Kotlin,,"Java, Kotlin",Kotlin,"Java, Kotlin",Так / Да,Swift,Книги та документацію // Книги и документацию,5,2,26,Так /  Да,Так  / Да
1/2/2019 11:05:22,Basic,Так/Да,C#,,Pascal/Delphi,C#,C#,Так / Да,Python,Онлайн-курси // Онлайн-курсы,10,5,38,Так /  Да,Ні / Нет
1/2/2019 11:05:24,Pascal/Delphi,Так/Да,C#,,"TypeScript, T-SQL",C#,,Ні / Нет,,Офлайн-курси // Офлайн-курсы,2.5,2,25,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:05:27,Pascal/Delphi,Так/Да,Java,,"JavaScript, PL-SQL",Kotlin,"Java, Kotlin",Ні / Нет,,,5,5,24,Так /  Да,Так  / Да
1/2/2019 11:05:29,Basic,Так/Да,C#,,"TypeScript, PowerShell",Rust,"C#, F#",Так / Да,Rust,Книги та документацію // Книги и документацию,9,8,29,Ні / Нет,Так  / Да
1/2/2019 11:05:30,Java,Так/Да,Java,,Kotlin,Java,,Так / Да,Dart,Онлайн-курси // Онлайн-курсы,4,4,24,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:05:39,Basic,Так/Да,PHP,,"JavaScript, PHP, TypeScript",TypeScript,"JavaScript, PHP, TypeScript",Так / Да,Python,Офлайн-курси // Офлайн-курсы,11,11,40,Ні / Нет,Так  / Да
1/2/2019 11:05:40,C++,Так/Да,JavaScript,,"Python, C++, Lua",JavaScript,C++,,,,,,25,Так /  Да,Ні / Нет
1/2/2019 11:05:47,C++,Так/Да,JavaScript,,,Ruby,,Так / Да,TypeScript,Книги та документацію // Книги и документацию,1,1,20,Так /  Да,Ні / Нет
1/2/2019 11:05:51,C,Так/Да,C++,,"Unix Shell, Python, C",Python,"Python, C++",Ні / Нет,,Книги та документацію // Книги и документацию,1,3,23,Так /  Да,Так  / Да
1/2/2019 11:05:52,Pascal/Delphi,Так/Да,Ruby,,JavaScript,Elixir,"Ruby, Elixir",Ні / Нет,,Книги та документацію // Книги и документацию,3,3,26,Так /  Да,Так  / Да
1/2/2019 11:05:56,Basic,Так/Да,C#,,"C++, Swift, C, Objective-C, Wolfram Mathematica",Swift,"Swift, C",Так / Да,TypeScript,Онлайн-курси // Онлайн-курсы,7,10,28,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:05:57,Basic,Так/Да,Python,,Java,Python,"Java, Python",Так / Да,Dart,Книги та документацію // Книги и документацию,18,2,36,Так /  Да,Так  / Да
1/2/2019 11:05:58,Python,Так/Да,PHP,,"JavaScript, Java, Python",PHP,,Ні / Нет,,Книги та документацію // Книги и документацию,2,2,25,Так /  Да,Ні / Нет
1/2/2019 11:06:00,Pascal/Delphi,Так/Да,C,,"Unix Shell, Python",C,C,Ні / Нет,,Книги та документацію // Книги и документацию,,5,30,Так /  Да,Ні / Нет
1/2/2019 11:06:12,C++,Так/Да,Kotlin,,"Java, C++",Kotlin,"Java, Kotlin",Так / Да,Java,Книги та документацію // Книги и документацию,1.5,0.7,22,Так /  Да,Так  / Да
1/2/2019 11:06:15,Java,Ні/Нет,,"Java, Scala","bash, groovy",Scala,Java,Так / Да,Haskell,Онлайн-курси // Онлайн-курсы,3,1,39,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:06:20,C++,Так/Да,Java,,,Swift,Ruby,Ні / Нет,Kotlin,Онлайн-курси // Онлайн-курсы,1,1,21,Так /  Да,Ні / Нет
1/2/2019 11:06:25,Pascal/Delphi,Так/Да,Go,,,Go,C#,Так / Да,C#,Книги та документацію // Книги и документацию,2,1,21,Так /  Да,Так  / Да
1/2/2019 11:06:26,Objective-C,Так/Да,Objective-C,,Swift,Swift,"Swift, Objective-C",Так / Да,Python,Книги та документацію // Книги и документацию,1,1,33,Так /  Да,Ні / Нет
1/2/2019 11:06:26,JavaScript,Так/Да,JavaScript,,TypeScript,JavaScript,,Ні / Нет,,Онлайн-курси // Онлайн-курсы,2,2,23,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:06:30,Basic,Так/Да,C#,,"JavaScript, C++, TypeScript, T-SQL",Python,"JavaScript, C#, PHP, C++, TypeScript, T-SQL, Pascal/Delphi",Так / Да,Python,Онлайн-курси // Онлайн-курсы,2,4,19,Так /  Да,Ні / Нет
1/2/2019 11:06:30,C++,Так/Да,Kotlin,,"JavaScript, Swift",Kotlin,"Java, JavaScript",Так / Да,Dart,Книги та документацію // Книги и документацию,3,2,22,Ні / Нет,Не пам'ятаю /  Не помню
1/2/2019 11:06:34,Pascal/Delphi,Так/Да,Python,,"Unix Shell, C++",Python,"JavaScript, Python",Так / Да,C++,Книги та документацію // Книги и документацию,1,1,22,Так /  Да,Ні / Нет
1/2/2019 11:06:38,PHP,Так/Да,JavaScript,,"PHP, Go",Go,"JavaScript, PHP, Go",Ні / Нет,Go,Книги та документацію // Книги и документацию,10,5,32,Так /  Да,Ні / Нет
1/2/2019 11:06:39,Basic,Так/Да,JavaScript,,"JavaScript, Unix Shell, TypeScript, PL-SQL, Pascal/Delphi",JavaScript,JavaScript,Так / Да,Go,Онлайн-курси // Онлайн-курсы,18,5,38,Так /  Да,Ні / Нет
1/2/2019 11:06:39,Pascal/Delphi,Так/Да,Ruby,,"JavaScript, Unix Shell, Java",Ruby,,Так / Да,Go,Книги та документацію // Книги и документацию,7,7,27,Так /  Да,Ні / Нет
1/2/2019 11:06:39,C++,Так/Да,Kotlin,,Java,Kotlin,"Go, Kotlin",Так / Да,Go,Книги та документацію // Книги и документацию,2,1,20,Так /  Да,Так  / Да
1/2/2019 11:06:40,C,Так/Да,JavaScript,,"JavaScript, PHP, TypeScript",PHP,"JavaScript, TypeScript",Так / Да,TypeScript,Онлайн-курси // Онлайн-курсы,1,1,21,Так /  Да,Ні / Нет
1/2/2019 11:06:40,Pascal/Delphi,Так/Да,Python,,Python,Python,Python,Ні / Нет,,Онлайн-курси // Онлайн-курсы,1,1,21,Так /  Да,Ні / Нет
1/2/2019 11:06:42,Pascal/Delphi,Так/Да,JavaScript,,TypeScript,JavaScript,JavaScript,Ні / Нет,,,8,5,33,Так /  Да,Так  / Да
1/2/2019 11:06:42,C,Так/Да,C#,,"JavaScript, TypeScript, PL-SQL, T-SQL, Dart",C#,"JavaScript, C#, TypeScript",Так / Да,Dart,Онлайн-курси // Онлайн-курсы,2,2,24,Так /  Да,Так  / Да
1/2/2019 11:06:44,Pascal/Delphi,Так/Да,Java,,JavaScript,Java,Java,Так / Да,Kotlin,Книги та документацію // Книги и документацию,3,1,19,Так /  Да,Ні / Нет
1/2/2019 11:06:45,C++,Так/Да,C#,,,C#,,Ні / Нет,,Книги та документацію // Книги и документацию,0.5,1,20,Так /  Да,Ні / Нет
1/2/2019 11:06:45,C++,Так/Да,Python,,PL-SQL,Python,Python,Ні / Нет,,Книги та документацію // Книги и документацию,1,1,20,Так /  Да,Ні / Нет
1/2/2019 11:06:59,Pascal/Delphi,Так/Да,C#,,"JavaScript, Unix Shell, TypeScript, T-SQL",C#,C#,Так / Да,TypeScript,Книги та документацію // Книги и документацию,3,4,23,Так /  Да,Ні / Нет
1/2/2019 11:07:00,Basic,Так/Да,JavaScript,,,JavaScript,JavaScript,Ні / Нет,JavaScript,Онлайн-курси // Онлайн-курсы,0.5,0.5,28,Так /  Да,Ні / Нет
1/2/2019 11:07:01,Basic,Так/Да,PHP,,Pascal/Delphi,Ruby,Ruby,Ні / Нет,,,15,13,40,Так /  Да,Ні / Нет
1/2/2019 11:07:10,Pascal/Delphi,Так/Да,C++,,"JavaScript, XSLT",C++,"JavaScript, C++",Ні / Нет,,,8,6,30,Так /  Да,Ні / Нет
1/2/2019 11:07:13,Pascal/Delphi,Ні/Нет,,"JavaScript, Python, C","Unix Shell, C++, Go",Python,Python,Так / Да,Go,Онлайн-курси // Онлайн-курсы,2,2,19,Так /  Да,Ні / Нет
1/2/2019 11:07:14,Pascal/Delphi,Так/Да,Python,,,Python,Python,Так / Да,JavaScript,Книги та документацію // Книги и документацию,1.8,1.8,22,Так /  Да,Так  / Да
1/2/2019 11:07:17,C++,Так/Да,Scala,,"Java, C#",Haskel,Scala,Так / Да,Haskell,Книги та документацію // Книги и документацию,14,2,30,Ні / Нет,Не пам'ятаю /  Не помню
1/2/2019 11:07:17,Pascal/Delphi,Так/Да,JavaScript,,"Java, Python, C++",TypeScript,"JavaScript, Python",Так / Да,TypeScript,Книги та документацію // Книги и документацию,12,10,35,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:07:20,C++,Так/Да,C#,,Java,C#,,Так / Да,TypeScript,Онлайн-курси // Онлайн-курсы,3,1.5,22,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:07:30,C++,Так/Да,Java,,"JavaScript, TypeScript",Java,,Ні / Нет,,Книги та документацію // Книги и документацию,6,6,30,Так /  Да,Так  / Да
1/2/2019 11:07:32,Pascal/Delphi,Так/Да,Python,,,Python,"Java, Python, C++, C",Ні / Нет,,Книги та документацію // Книги и документацию,0.5,0.5,19,Так /  Да,Ні / Нет
1/2/2019 11:07:32,PHP,Так/Да,PHP,,"JavaScript, Unix Shell, Java, C++",JavaScript,"JavaScript, PHP, C++",Так / Да,JavaScript,Книги та документацію // Книги и документацию,7,7,26,Так /  Да,Так  / Да
1/2/2019 11:07:36,Fortran,Так/Да,Java,,JavaScript,Java,Java,Ні / Нет,,,4,2,30,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:07:37,JavaScript,Так/Да,JavaScript,,Python,JavaScript,JavaScript,Так / Да,Python,Офлайн-курси // Офлайн-курсы,,,,,
1/2/2019 11:07:38,Pascal/Delphi,Так/Да,C++,,"Unix Shell, C#, Python, C, T-SQL",C++,"C#, Python, C++",Так / Да,Rust,Книги та документацію // Книги и документацию,10,10,33,Так /  Да,Ні / Нет
1/2/2019 11:07:41,JavaScript,Так/Да,JavaScript,,"JavaScript, PHP",Java,,Так / Да,Java,Онлайн-курси // Онлайн-курсы,,,20,Так /  Да,Ні / Нет
1/2/2019 11:07:45,Basic,Так/Да,Swift,,Objective-C,Swift,Objective-C,Так / Да,Python,Книги та документацію // Книги и документацию,13,4,33,Так /  Да,Так  / Да
1/2/2019 11:07:48,Pascal/Delphi,Так/Да,Java,,C#,Java,,Так / Да,Python,Офлайн-курси // Офлайн-курсы,10,9,34,Так /  Да,Так  / Да
1/2/2019 11:07:49,Java,Так/Да,JavaScript,,PHP,TypeScript,JavaScript,,TypeScript,Офлайн-курси // Офлайн-курсы,,,,,
1/2/2019 11:07:50,Pascal/Delphi,Ні/Нет,,"Python, C++, Haskell","Scala, C",Haskell,"Python, Haskell",Так / Да,Rust,Книги та документацію // Книги и документацию,3,1,22,Ні / Нет,Так  / Да
1/2/2019 11:07:52,Basic,Так/Да,Swift,,"Objective-C, Pascal/Delphi",Swift,"C++, Pascal/Delphi",Так / Да,Dart,Книги та документацію // Книги и документацию,20,3,40,Так /  Да,Так  / Да
1/2/2019 11:07:57,Pascal/Delphi,Так/Да,JavaScript,,"C#, PHP, Python",TypeScript,"JavaScript, C#, TypeScript",Так / Да,C#,Книги та документацію // Книги и документацию,1.5,6,22,Так /  Да,Ні / Нет
1/2/2019 11:08:13,Basic,Так/Да,PHP,,"JavaScript, TypeScript, PL-SQL",PHP,,Так / Да,Scala,Книги та документацію // Книги и документацию,7,7,37,Так /  Да,Так  / Да
1/2/2019 11:08:15,С#,Так/Да,C#,,"JavaScript, Java, C#, Python, C++, Pascal/Delphi",JavaScript,,Так / Да,PHP,Офлайн-курси // Офлайн-курсы,2,2,17,Так /  Да,Ні / Нет
1/2/2019 11:08:20,Basic,Так/Да,Java,,"JavaScript, Unix Shell",Java,Java,Ні / Нет,,Книги та документацію // Книги и документацию,15,15,37,Ні / Нет,Так  / Да
1/2/2019 11:08:22,PHP,Так/Да,JavaScript,,PHP,JavaScript,JavaScript,Так / Да,TypeScript,Книги та документацію // Книги и документацию,8,5,31,Так /  Да,Так  / Да
1/2/2019 11:08:23,Java,Так/Да,C#,,"Java, Kotlin",Kotlin,Kotlin,Так / Да,Swift,Книги та документацію // Книги и документацию,1,0.5,24,Так /  Да,Ні / Нет
1/2/2019 11:08:35,Pascal/Delphi,Так/Да,Kotlin,,"Java, Swift, Dart",Kotlin,"Java, Swift, Dart",Так / Да,JavaScript,Книги та документацію // Книги и документацию,5,5,22,Ні / Нет,Так  / Да
1/2/2019 11:08:39,Pascal/Delphi,Так/Да,Java,,"Kotlin, Groovy",Kotlin,"Java, Kotlin",Ні / Нет,,Книги та документацію // Книги и документацию,6,6,27,Так /  Да,Так  / Да
1/2/2019 11:08:41,Swift,Так/Да,Swift,,"Objective-C, Kotlin",Swift,Swift,Так / Да,Python,Книги та документацію // Книги и документацию,3,4,26,Так /  Да,Ні / Нет
1/2/2019 11:08:44,C++,Так/Да,C++,,"JavaScript, C#, PHP, C++",C++,"C#, C++",Так / Да,Python,Офлайн-курси // Офлайн-курсы,1,1,23,Так /  Да,Ні / Нет
1/2/2019 11:08:50,C++,Так/Да,TypeScript,,"JavaScript, C#",C#,"C#, TypeScript",Так / Да,Objective-C,Книги та документацію // Книги и документацию,,,,Так /  Да,Ні / Нет
1/2/2019 11:08:52,JavaScript,Так/Да,Java,,Go,Kotlin,Swift,,,Книги та документацію // Книги и документацию,,,,,
1/2/2019 11:08:57,C++,Так/Да,C#,,"JavaScript, C++",Python,C#,Так / Да,Python,Онлайн-курси // Онлайн-курсы,,,,Так /  Да,Ні / Нет
1/2/2019 11:09:03,JavaScript,Так/Да,JavaScript,,"Unix Shell, Swift, TypeScript, Objective-C, SQL",TypeScript,"JavaScript, TypeScript",Так / Да,Python,Онлайн-курси // Онлайн-курсы,6.5,6.5,29,Так /  Да,Ні / Нет
1/2/2019 11:09:06,Pascal/Delphi,Так/Да,Java,,"JavaScript, C#",Java,Java,Так / Да,JavaScript,Онлайн-курси // Онлайн-курсы,1,3,18,Так /  Да,Ні / Нет
1/2/2019 11:09:08,С#,Так/Да,C#,,"JavaScript, T-SQL",C#,"JavaScript, C#, T-SQL",Так / Да,Python,Книги та документацію // Книги и документацию,1.5,1.5,24,Так /  Да,Так  / Да
1/2/2019 11:09:11,Pascal/Delphi,Так/Да,C#,,"JavaScript, T-SQL",C#,,Ні / Нет,,Книги та документацію // Книги и документацию,11,11,37,Так /  Да,Ні / Нет
1/2/2019 11:09:14,C++,Так/Да,Python,,"JavaScript, 1C",Python,Python,Так / Да,Java,Книги та документацію // Книги и документацию,3,1,22,Так /  Да,Ні / Нет
1/2/2019 11:09:17,JavaScript,Так/Да,JavaScript,,Ruby,Python,JavaScript,Так / Да,Java,Онлайн-курси // Онлайн-курсы,1,1,29,Так /  Да,Ні / Нет
1/2/2019 11:09:19,Pascal/Delphi,Так/Да,C#,,"JavaScript, TypeScript",C#,"JavaScript, C#",Ні / Нет,,Книги та документацію // Книги и документацию,8,10,29,Так /  Да,Так  / Да
1/2/2019 11:09:19,1C,Так/Да,Scala,,"JavaScript, Unix Shell, Java, C#, Python, TypeScript, Scala, PL-SQL, R",Scala,"C#, Python",Ні / Нет,,Офлайн-курси // Офлайн-курсы,10,7,32,Так /  Да,Так  / Да
1/2/2019 11:09:27,Basic,Так/Да,PHP,,"JavaScript, Unix Shell",Go,,Ні / Нет,,Книги та документацію // Книги и документацию,25,20,48,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:09:40,Java,Так/Да,Java,,JavaScript,Python,Java,Ні / Нет,,Онлайн-курси // Онлайн-курсы,4,3,27,Так /  Да,Ні / Нет
1/2/2019 11:09:41,Pascal/Delphi,Так/Да,C#,,JavaScript,C#,,Ні / Нет,,Книги та документацію // Книги и документацию,8,8,27,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:09:48,Pascal/Delphi,Так/Да,Java,,"JavaScript, Unix Shell, PL-SQL",Java,Java,Ні / Нет,,Книги та документацію // Книги и документацию,4,4,30,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:09:50,Basic,Так/Да,Groovy,,"Unix Shell, Python",Go,,Так / Да,Go,Онлайн-курси // Онлайн-курсы,9,1,33,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:09:52,C,Так/Да,Java,,"JavaScript, TypeScript",Java,"Java, TypeScript",Ні / Нет,JavaScript,Книги та документацію // Книги и документацию,2,2,29,Так /  Да,Ні / Нет
1/2/2019 11:09:53,C,Так/Да,Java,,Java,Java,,Так / Да,Python,Книги та документацію // Книги и документацию,2,2,24,Так /  Да,Ні / Нет
1/2/2019 11:09:55,Basic,Так/Да,PHP,,JavaScript,PHP,"JavaScript, PHP",Так / Да,Go,Книги та документацію // Книги и документацию,17,15,38,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:09:56,Basic,Так/Да,Python,,"JavaScript, Unix Shell",Python,,Так / Да,Rust,Книги та документацію // Книги и документацию,8,8,31,Так /  Да,Так  / Да
1/2/2019 11:09:57,PHP,Так/Да,PHP,,JavaScript,JavaScript,PHP,Так / Да,Rust,,1,1,26,Так /  Да,Ні / Нет
1/2/2019 11:09:57,C,Так/Да,Python,,"JavaScript, Go",Python,Python,Так / Да,Go,Книги та документацію // Книги и документацию,4,4,29,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:09:59,C++,Так/Да,Python,,"Java, Kotlin",Python,,Так / Да,Java,Онлайн-курси // Онлайн-курсы,,3,20,Так /  Да,Ні / Нет
1/2/2019 11:10:00,PHP,Так/Да,JavaScript,,,JavaScript,,Ні / Нет,,Онлайн-курси // Онлайн-курсы,4,3,28,Так /  Да,Ні / Нет
1/2/2019 11:10:03,Basic,Так/Да,Java,,"C#, PL-SQL, T-SQL",C#,C#,Так / Да,JavaScript,Книги та документацію // Книги и документацию,,,49,Так /  Да,Так  / Да
1/2/2019 11:10:11,Pascal/Delphi,Так/Да,JavaScript,,PHP,JavaScript,JavaScript,Так / Да,TypeScript,Онлайн-курси // Онлайн-курсы,4,3,25,Так /  Да,Ні / Нет
1/2/2019 11:10:15,Pascal/Delphi,Так/Да,PHP,,JavaScript,PHP,"JavaScript, PHP",Ні / Нет,,,,,,Так /  Да,Так  / Да
1/2/2019 11:10:18,Pascal/Delphi,Так/Да,Python,,,Java,Python,Ні / Нет,,Книги та документацію // Книги и документацию,9,4,29,Так /  Да,Ні / Нет
1/2/2019 11:10:21,Pascal/Delphi,Так/Да,PHP,,"JavaScript, Unix Shell, Go",Go,PHP,Так / Да,Go,Книги та документацію // Книги и документацию,8,8,29,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:10:27,JavaScript,Так/Да,JavaScript,,TypeScript,TypeScript,JavaScript,Так / Да,Haskell,Книги та документацію // Книги и документацию,1,1,27,Так /  Да,Ні / Нет
1/2/2019 11:10:28,C++,Так/Да,C#,,C#,C#,C#,Так / Да,JavaScript,Книги та документацію // Книги и документацию,,,,,Не пам'ятаю /  Не помню
1/2/2019 11:10:29,Python,Так/Да,Python,,"JavaScript, Unix Shell, Python",JavaScript,Python,Ні / Нет,Python,Онлайн-курси // Онлайн-курсы,4,4,26,Так /  Да,Ні / Нет
1/2/2019 11:10:34,C++,Так/Да,Ruby,,JavaScript,Python,"Java, JavaScript, Python",Так / Да,JavaScript,Онлайн-курси // Онлайн-курсы,3,1,25,Так /  Да,Ні / Нет
1/2/2019 11:10:34,C++,Так/Да,C++,,C,Swift,"JavaScript, C++",Так / Да,Swift,Книги та документацію // Книги и документацию,1,3,20,,Ні / Нет
1/2/2019 11:10:36,C++,Так/Да,TypeScript,,JavaScript,TypeScript,"JavaScript, TypeScript",Ні / Нет,,Онлайн-курси // Онлайн-курсы,1,1,22,Так /  Да,Ні / Нет
1/2/2019 11:10:37,C,Так/Да,Java,,,Java,Java,Так / Да,JavaScript,Книги та документацію // Книги и документацию,,,19,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:10:58,Basic,Так/Да,C#,,,C#,"Java, JavaScript, C#, C++, Ruby, TypeScript",Так / Да,Scala,Онлайн-курси // Онлайн-курсы,10,7,35,Так /  Да,Так  / Да
1/2/2019 11:10:58,Pascal/Delphi,Так/Да,C#,,"JavaScript, T-SQL",C#,"JavaScript, C#, TypeScript, T-SQL",Так / Да,F#,Книги та документацію // Книги и документацию,2.5,3.5,22,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:11:02,Python,Так/Да,Kotlin,,"Java, Groovy",Kotlin,"Java, Kotlin, Groovy",Так / Да,Dart,Книги та документацію // Книги и документацию,2,2,21,Так /  Да,Так  / Да
1/2/2019 11:11:07,JavaScript,Так/Да,JavaScript,,,JavaScript,JavaScript,,,,1,1,26,Так /  Да,Ні / Нет
1/2/2019 11:11:22,PHP,Так/Да,Python,,JavaScript,JavaScript,"JavaScript, Python",Так / Да,JavaScript,Онлайн-курси // Онлайн-курсы,1.5,1.6,27,Так /  Да,Так  / Да
1/2/2019 11:11:26,Python,Так/Да,Python,,JavaScript,JavaScript,"JavaScript, Python",Так / Да,Rust,Книги та документацію // Книги и документацию,3,3,30,Ні / Нет,Ні / Нет
1/2/2019 11:11:28,Pascal/Delphi,Так/Да,Groovy,,"Java, Scala",Scala,,Так / Да,Scala,Книги та документацію // Книги и документацию,10,2,34,Так /  Да,Так  / Да
1/2/2019 11:11:32,Pascal/Delphi,Так/Да,PHP,,JavaScript,PHP,,Так / Да,,Онлайн-курси // Онлайн-курсы,3,3,24,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:11:37,Pascal/Delphi,Так/Да,PHP,,JavaScript,PHP,JavaScript,Ні / Нет,,Онлайн-курси // Онлайн-курсы,4,4,27,Так /  Да,Ні / Нет
1/2/2019 11:11:37,Basic,Так/Да,Go,,,Go,Go,Так / Да,Haskell,Книги та документацію // Книги и документацию,18,6,39,Так /  Да,Так  / Да
1/2/2019 11:11:42,Python,Так/Да,T-SQL,,"JavaScript, Unix Shell, Java, Python, T-SQL, SPL",T-SQL,Python,Так / Да,Python,Офлайн-курси // Офлайн-курсы,2,2,22,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:11:48,Basic,Так/Да,Go,,Unix Shell,Go,"Java, Go",Так / Да,Kotlin,Онлайн-курси // Онлайн-курсы,2,2,36,Так /  Да,Ні / Нет
1/2/2019 11:11:49,Pascal/Delphi,Ні/Нет,,"JavaScript, C#, C++, T-SQL",,C#,"Java, JavaScript, C#, C++, T-SQL",Так / Да,Python,Онлайн-курси // Онлайн-курсы,2,2,21,Так /  Да,Ні / Нет
1/2/2019 11:11:50,foxpro,Так/Да,Python,,"Python, 1C, T-SQL, R",Python,"Python, T-SQL, R",Так / Да,Scala,Книги та документацію // Книги и документацию,23,3,45,Так /  Да,Ні / Нет
1/2/2019 11:11:52,JavaScript,Так/Да,Scala,,"Unix Shell, Java, Python",Scala,,Ні / Нет,,Онлайн-курси // Онлайн-курсы,6,2,24,Так /  Да,Так  / Да
1/2/2019 11:11:56,Pascal/Delphi,Так/Да,Python,,"JavaScript, PHP, TypeScript",Python,"PHP, Python, TypeScript",Так / Да,Swift,Книги та документацію // Книги и документацию,7,3,31,Так /  Да,Так  / Да
1/2/2019 11:12:04,Pascal/Delphi,Ні/Нет,,"Python, C++, C",,Python,"Python, C++, C",Ні / Нет,,Онлайн-курси // Онлайн-курсы,8,3,32,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:12:05,Java,Так/Да,Java,,JavaScript,Java,"Java, JavaScript, C#",Ні / Нет,Scala,Онлайн-курси // Онлайн-курсы,3,3,21,Так /  Да,Так  / Да
1/2/2019 11:12:05,Pascal/Delphi,Так/Да,C#,,"JavaScript, T-SQL, PowerShell",C#,C#,Так / Да,TypeScript,Онлайн-курси // Онлайн-курсы,6,3,32,Так /  Да,Ні / Нет
1/2/2019 11:12:09,VBA,Так/Да,PHP,,JavaScript,PHP,PHP,Ні / Нет,,Онлайн-курси // Онлайн-курсы,4,4,30,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:12:16,C++,Так/Да,Java,,"Unix Shell, C++",Java,,Так / Да,Kotlin,Книги та документацію // Книги и документацию,4,3,26,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:12:17,Pascal/Delphi,Так/Да,C#,,JavaScript,C#,C#,Ні / Нет,,Книги та документацію // Книги и документацию,3,3,25,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:12:18,Java,Так/Да,JavaScript,,"Java, Objective-C",JavaScript,"Java, JavaScript, C#, Objective-C",Так / Да,TypeScript,Онлайн-курси // Онлайн-курсы,2,1.5,19,Так /  Да,Так  / Да
1/2/2019 11:12:19,Basic,Так/Да,Java,,"JavaScript, Unix Shell, PL-SQL",Java,Java,Так / Да,Kotlin,Книги та документацію // Книги и документацию,17,20,48,Так /  Да,Ні / Нет
1/2/2019 11:12:48,C++,Так/Да,Kotlin,,JavaScript,Kotlin,Kotlin,Ні / Нет,,,4,2,24,Так /  Да,Ні / Нет
1/2/2019 11:12:53,Pascal/Delphi,Так/Да,C++,,"C#, C",C++,"C#, C++, C",Так / Да,Rust,Книги та документацію // Книги и документацию,1,1,20,Так /  Да,Ні / Нет
1/2/2019 11:12:54,JavaScript,Так/Да,JavaScript,,PHP,JavaScript,JavaScript,Так / Да,Java,Книги та документацію // Книги и документацию,0,1,20,Так /  Да,Ні / Нет
1/2/2019 11:12:57,C++,Так/Да,JavaScript,,PHP,JavaScript,JavaScript,Так / Да,Python,Онлайн-курси // Онлайн-курсы,1.6,1.6,22,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 11:12:57,Pascal/Delphi,Так/Да,Java,,"JavaScript, T-SQL",Java,"JavaScript, PHP",Так / Да,Scala,Книги та документацію // Книги и документацию,7,3,29,Так /  Да,Ні / Нет
